Artist,avgSent,deltaSTotal,deltaSEarly,deltaSLate
Bryan White,"[0.087, 0.043, 0.87]","[0.073, -0.023, -0.05]","[0.007, 0.001, -0.008]","[0.066, -0.023, -0.043]"
Carly Simon,"[0.078, 0.047, 0.875]","[-0.024, 0.012, 0.012]","[-0.013, 0.011, 0.001]","[-0.012, 0.001, 0.011]"
Carol Banawa,"[0.056, 0.028, 0.916]","[-0.012, 0.039, -0.028]","[0.003, 0.003, -0.006]","[-0.014, 0.036, -0.022]"
Carpenters,"[0.092, 0.038, 0.87]","[0.034, 0.004, -0.038]","[0.023, 0.004, -0.027]","[0.01, 0.001, -0.011]"
Cat Stevens,"[0.078, 0.041, 0.881]","[0.004, -0.011, 0.007]","[0.004, -0.004, -0.0]","[0.0, -0.007, 0.007]"
Chaka Khan,"[0.101, 0.044, 0.855]","[0.004, -0.017, 0.013]","[0.004, -0.011, 0.006]","[-0.0, -0.006, 0.006]"
Cheap Trick,"[0.079, 0.052, 0.869]","[0.009, 0.022, -0.03]","[0.013, 0.016, -0.028]","[-0.004, 0.006, -0.002]"
Cher,"[0.088, 0.046, 0.866]","[0.009, 0.008, -0.017]","[0.002, 0.001, -0.003]","[0.007, 0.006, -0.014]"
Chicago,"[0.094, 0.045, 0.861]","[-0.002, -0.003, 0.005]","[-0.001, -0.003, 0.003]","[-0.002, -0.0, 0.002]"
Chris Brown,"[0.083, 0.036, 0.88]","[0.027, 0.002, -0.029]","[0.022, 0.002, -0.024]","[0.005, 0.0, -0.005]"
Chris Rea,"[0.07, 0.043, 0.887]","[-0.008, -0.009, 0.017]","[-0.005, -0.003, 0.008]","[-0.003, -0.006, 0.01]"
Christina Aguilera,"[0.085, 0.043, 0.872]","[-0.053, -0.032, 0.085]","[-0.034, 0.0, 0.033]","[-0.02, -0.032, 0.052]"
Christy Moore,"[0.044, 0.044, 0.912]","[0.001, -0.001, -0.0]","[0.005, -0.001, -0.004]","[-0.004, 0.0, 0.004]"
Chuck Berry,"[0.072, 0.035, 0.893]","[0.019, 0.003, -0.022]","[0.015, 0.005, -0.02]","[0.004, -0.002, -0.002]"
Cinderella,"[0.073, 0.04, 0.888]","[-0.022, 0.012, 0.01]","[-0.003, 0.005, -0.002]","[-0.019, 0.007, 0.012]"
Cliff Richard,"[0.091, 0.044, 0.865]","[-0.007, -0.006, 0.013]","[-0.035, 0.002, 0.033]","[0.028, -0.007, -0.02]"
Coldplay,"[0.053, 0.04, 0.907]","[-0.025, -0.005, 0.029]","[-0.029, 0.001, 0.028]","[0.004, -0.006, 0.001]"
Cole Porter,"[0.115, 0.056, 0.83]","[-0.029, 0.022, 0.007]","[-0.023, 0.018, 0.005]","[-0.006, 0.004, 0.001]"
Conway Twitty,"[0.089, 0.047, 0.865]","[-0.011, -0.013, 0.024]","[-0.007, -0.002, 0.008]","[-0.004, -0.012, 0.016]"
Counting Crows,"[0.069, 0.037, 0.894]","[0.014, 0.002, -0.016]","[0.02, -0.002, -0.018]","[-0.006, 0.003, 0.002]"
Creedence Clearwater Revival,"[0.044, 0.046, 0.91]","[0.015, -0.0, -0.015]","[0.006, 0.019, -0.026]","[0.008, -0.019, 0.011]"
Crowded House,"[0.072, 0.054, 0.874]","[0.021, 0.019, -0.04]","[0.016, 0.01, -0.027]","[0.005, 0.008, -0.014]"
Culture Club,"[0.106, 0.058, 0.836]","[0.045, -0.003, -0.042]","[0.01, -0.001, -0.009]","[0.035, -0.002, -0.033]"
Cyndi Lauper,"[0.071, 0.047, 0.882]","[-0.0, 0.005, -0.005]","[0.004, 0.006, -0.01]","[-0.005, -0.001, 0.005]"
Dan Fogelberg,"[0.075, 0.049, 0.877]","[0.03, 0.006, -0.036]","[0.007, 0.003, -0.01]","[0.023, 0.003, -0.026]"
Dave Matthews Band,"[0.074, 0.041, 0.885]","[-0.007, 0.005, 0.002]","[-0.003, 0.005, -0.002]","[-0.004, 0.0, 0.004]"
David Allan Coe,"[0.061, 0.045, 0.894]","[0.015, 0.004, -0.019]","[0.006, 0.002, -0.008]","[0.009, 0.002, -0.011]"
David Bowie,"[0.068, 0.046, 0.886]","[-0.022, -0.009, 0.031]","[-0.019, -0.005, 0.024]","[-0.003, -0.004, 0.007]"
David Guetta,"[0.083, 0.045, 0.872]","[0.023, 0.004, -0.027]","[0.037, 0.007, -0.044]","[-0.014, -0.002, 0.017]"
David Pomeranz,"[0.085, 0.039, 0.876]","[0.0, 0.0, -0.0]","[-0.003, -0.003, 0.005]","[0.003, 0.003, -0.006]"
Dean Martin,"[0.1, 0.038, 0.862]","[-0.016, 0.02, -0.004]","[-0.026, 0.015, 0.011]","[0.011, 0.005, -0.016]"
Death,"[0.059, 0.072, 0.869]","[0.021, 0.012, -0.033]","[0.024, 0.011, -0.034]","[-0.003, 0.001, 0.002]"
Deep Purple,"[0.069, 0.055, 0.876]","[0.031, 0.007, -0.038]","[0.024, 0.005, -0.029]","[0.007, 0.002, -0.009]"
Def Leppard,"[0.071, 0.053, 0.876]","[-0.011, 0.002, 0.009]","[-0.002, 0.002, 0.001]","[-0.008, 0.0, 0.008]"
Demi Lovato,"[0.081, 0.047, 0.872]","[-0.012, 0.046, -0.034]","[0.01, 0.01, -0.02]","[-0.022, 0.036, -0.014]"
Depeche Mode,"[0.089, 0.054, 0.858]","[0.014, 0.015, -0.029]","[-0.001, 0.011, -0.01]","[0.014, 0.005, -0.019]"
Devo,"[0.063, 0.048, 0.889]","[0.001, 0.015, -0.016]","[0.0, 0.003, -0.003]","[0.001, 0.013, -0.014]"
Dewa 19,"[0.05, 0.011, 0.939]","[0.01, -0.022, 0.011]","[0.004, -0.016, 0.012]","[0.006, -0.006, -0.0]"
Diana Ross,"[0.101, 0.049, 0.85]","[-0.011, 0.016, -0.005]","[-0.011, 0.006, 0.006]","[0.0, 0.01, -0.01]"
Dire Straits,"[0.06, 0.043, 0.898]","[0.003, 0.018, -0.021]","[0.006, 0.003, -0.009]","[-0.003, 0.015, -0.012]"
Divine,"[0.077, 0.049, 0.875]","[0.004, -0.018, 0.015]","[0.014, -0.005, -0.009]","[-0.011, -0.013, 0.024]"
Dolly Parton,"[0.085, 0.046, 0.869]","[-0.033, -0.005, 0.038]","[-0.019, -0.001, 0.021]","[-0.014, -0.004, 0.017]"
Don Henley,"[0.071, 0.051, 0.878]","[-0.049, 0.018, 0.032]","[-0.042, 0.025, 0.017]","[-0.007, -0.007, 0.014]"
Don McLean,"[0.081, 0.042, 0.877]","[0.007, -0.003, -0.004]","[0.011, -0.001, -0.01]","[-0.003, -0.002, 0.005]"
Don Moen,"[0.078, 0.037, 0.885]","[-0.008, 0.011, -0.003]","[-0.025, 0.021, 0.004]","[0.017, -0.01, -0.006]"
Donna Summer,"[0.092, 0.046, 0.862]","[0.03, -0.005, -0.025]","[0.02, -0.005, -0.015]","[0.01, 0.0, -0.01]"
Doris Day,"[0.084, 0.043, 0.873]","[-0.005, 0.015, -0.01]","[-0.009, 0.01, -0.002]","[0.004, 0.004, -0.008]"
Drake,"[0.075, 0.042, 0.882]","[-0.02, 0.008, 0.012]","[-0.004, 0.003, 0.001]","[-0.016, 0.005, 0.011]"
Dream Theater,"[0.064, 0.06, 0.876]","[-0.027, 0.001, 0.026]","[-0.018, -0.006, 0.024]","[-0.009, 0.008, 0.002]"
Dusty Springfield,"[0.096, 0.047, 0.857]","[0.03, -0.008, -0.022]","[0.027, -0.003, -0.024]","[0.003, -0.005, 0.002]"
Eagles,"[0.081, 0.059, 0.86]","[-0.019, -0.015, 0.034]","[-0.01, 0.003, 0.007]","[-0.009, -0.017, 0.026]"
